,Sentence,Label
68,"
Machine-based art expertise can be used in automatic image retrieval, in art classes and in labeling of unsigned paintings at auction houses",Neural network artworks
69,"
In visual arts, style is defined as a set of distinctive elements that can be associated with a specific artistic movement, school or time period",Neural network artworks
70,"
Transfer learning allows the adaptation or reuse of a network model that has been trained for a specific task using a very large dataset to perform a new, related task for which only a small dataset is available",Neural network artworks
71,"
One of the possible reasons is that standard CNN architectures, used in most studies, require a fixed input image size that is in most cases, significantly smaller than the high-resolution art images offered by fine art datasets",Neural network artworks
72,"
To address this problem, a sub-region approach was introduced in which the original image is divided into smaller regions (or image patches), where the size of each patch matches the standard image input size required by the CNN model",Neural network artworks
73,"
First, the proposed approach divides the input image into patches and applies a deep neural network to train and classify each patch",Neural network artworks
74,"
The fine art classification task has been addressed through a wide range of methods",Neural network artworks
75,"
Twenty-five styles represented by a large dataset of digitized paintings were categorized using features generated by a pre-trained CNN model",Neural network artworks
76,"
Further improvement of style classification was achieved through the application of transfer learning with the CNN model used to do both, feature learning and label inference",Neural network artworks
77,"
The findings revealed a strong correlation between the CNN features and the chronology of paintings",Neural network artworks
78,"
The study implemented the SVM model trained on features extracted from the CNN model to perform a binary identification of Vincent van Gogh’s paintings",Neural network artworks
79,"
Artist recognition based images of paper prints of artworks were performed using the average score obtained by independent CNNs trained on different image scales",Neural network artworks
80,"
A complex three-branch CNN structure was trained using a dataset of 2338 images with 13 categories to classify paintings by style",Neural network artworks
81,"
While the first stage deep CNN classifier is trained on images, the second stage shallow NN is trained on the class-probability vectors resulting from the first stage classification",Neural network artworks
82,"
Three datasets of digital images of paintings collated from publicly available fine art collections, with the addition of an Australian Aboriginal art dataset created by the authors, were used to empirically validate the efficacy of the proposed method",Neural network artworks
83,"
The stylistic classes were balanced, and each class was represented by 5145 images (16",Neural network artworks
84,66% of the total number of pictures),Neural network artworks
85,"
It confirms the benefits of having a second-stage classifier trained not on the images but on the class-probability vectors",Neural network artworks
86,"
It can be noticed that the higher the CNN complexity, the better the classification outcomes disregarding the method and the database",Neural network artworks
87,"
A new machine learning method for automatic fine art style classification was presented and evaluated",Neural network artworks
88,"
In this paper we will talk about the development of computer programs capable of creating artworks",Neural network artworks
89,"
The vast majority of AI applications in the field of the arts falls into two categories: Systems performing some sort of art understanding task, such as musical analysis, and systems that work as “intelligent” tools for human artists (Spector & Alpern 1994); and a new range of applications that is beginning to emerge, the constructed artists which “are supposed to be capable of creating aesthetically meritorious artworks on their own, with minimal human intervention",Neural network artworks
90,"
In the development of a model for a “constructed artist”, we took into consideration the previously referred characteristics that a constructed artist should have",Neural network artworks
91,"
For the generation of the images, we rely on a Genetic Algorithm",Neural network artworks
92,"
This type of approach relies on the assumption that the combination of two highly fit images results, at least generally, in a fit image",Neural network artworks
93,"
In the proposed system, a convolutional neural network is learned so that images can be classified into a group based on a touch, with saturation and value and the histogram of saturation and value as input data, and the trained network is used to realize the retrieval",Neural network artworks
94," 
Then, the image and the normalized feature vector corresponding to the image are associated and stored in the database",Neural network artworks
95,"
In this paper, we explore the secret nature of human painting and propose an automatic image-to-painting translation method that generates vivid and realistic paintings with controllable styles",Neural network artworks
96,"
Our method can “draw” in a variety of painting styles, e",Neural network artworks
97,g,Neural network artworks
98," oil-painting brush, watercolor ink, marker-pen, and tape art",Neural network artworks
99,"
We test our method on various real-world images and photos, including human portraits, animals, scenery, daily objects, art photography, and cartoon images",Neural network artworks
100,"
We propose a new method for stroke based image-topainting translation",Neural network artworks
101,"
To build a neural renderer, a general practice is to build a deep convolutional network and train it to imitate the behavior of a graphic engine",Neural network artworks
102,"
We can see that our method successfully learns high-level abstractions of the characters and vividly portrays their shape and color",Neural network artworks
103,"
We can see our method generates more vivid results with a clear distinction on brush textures, while the method “Learning-to-Paint” tends to produce blurred results",Neural network artworks
104,"
We consider this artistic creation process under a stroke parameter searching paradigm that maximizes the similarity between the sequentially rendered canvas and the refe",Neural network artworks
